,,L,T,K,F,R,N,S
,,L,T,K,F,R,N,S
Achillea millefolium,Ach mil,8,NA,NA,4,NA,5,1
Agrostis stolonifera,Agr sto,8,NA,5,NA,NA,5,0
Aira praecox,Air pra,9,6,2,2,2,1,0
Alopecurus geniculatus,Alo gen,9,6,3,8,7,7,2
Anthoxanthum odoratum,Ant odo,NA,NA,NA,NA,5,NA,1
Bellis perennis,Bel per,8,5,NA,NA,NA,5,0
Bromus hordaceus,Bro hor,7,6,NA,NA,NA,3,0
Chenopodium album,Che alb,NA,NA,NA,4,NA,7,0
Cirsium arvense,Cir arv,8,NA,NA,NA,NA,7,0
Eleocharis palustris,Ele pal,8,NA,NA,1,NA,NA,0
Elytrigia repens,Ely rep,7,6,7,NA,NA,7,0
Empetrum nigrum,Emp nig,7,NA,3,6,NA,2,0
Hypochaeris radicata,Hyp rad,8,5,NA,5,4,3,0
Juncus articulatus,Jun art,8,NA,3,9,NA,2,1
Juncus buffonius,Jun buf,7,5,NA,7,3,4,0
Leontodon autumnalis,Leo aut,7,NA,3,5,5,5,0
Lolium perenne,Lol per,8,5,NA,5,NA,7,0
Plantago lanceolata,Pla lan,6,NA,NA,NA,NA,NA,0
Poa pratensis,Poa pra,6,NA,NA,5,NA,6,0
Poa trivialis,Poa tri,6,NA,NA,7,NA,7,0
Potentilla palustris,Pot pal,8,NA,NA,9,3,2,0
Ranunculus flammula,Ran fla,7,NA,3,9,3,2,1
Rumex acetosa,Rum ace,8,NA,NA,NA,NA,6,0
Sagina procumbens,Sag pro,7,NA,3,5,7,6,2
Salix repens,Sal rep,8,5,NA,7,NA,NA,0
Trifolium pratense,Tri pra,7,NA,NA,NA,NA,NA,0
Trifolium repens,Tri rep,8,NA,NA,NA,NA,7,0
Vicia lathyroides,Vic lat,8,7,4,2,3,2,0
Brachythecium rutabulum,Bra rut,5,NA,5,4,NA,NA,0
Calliergonella cuspidata,Cal cus,8,3,5,7,7,NA,NA
