ID,L,T,K,F,R,N,S
1,7.1111,5.3636,7,5.2143,NA,6.6667,0.0556
2,7.2143,5.5556,4.4545,5.6538,5.5714,6,0.1667
3,7.325,5.5789,4.4737,6.1071,6.5556,6.4474,0.35
4,7.2,5.5625,4.5652,5.56,6.5556,5.9535,0.3111
5,6.8974,5.6,5.2222,5.4706,5,6.0333,0.1395
6,6.8889,5,4.3333,5,5,6.3448,0.1042
7,6.8684,5.2,3.8,5.4167,4.4286,5.931,0.1
8,7.4,5.5556,3.5455,5.8529,5.8333,5.5294,0.5
9,7.1667,5.6,4.5455,6.4643,5.1818,5.75,0.3333
10,7.1026,5.4615,3.8333,4.9583,4.75,5.7353,0.186
11,6.9688,5.3636,3.7692,4.6154,4.8182,5.64,0.125
12,7.3714,5.6667,3.7273,6.3846,5.8889,6.0323,0.6857
13,7.1875,5.625,3.625,6.7692,5.2857,5.8788,0.4848
14,7.8333,3,4.3333,5.5714,5,5,0.1
15,7.3043,NA,4.0667,5.2222,3.6667,3.6429,0.2174
16,7.5758,4.7143,4.2174,5.2308,6.1111,4.8333,0.4333
17,7.4545,5.5,2.5,4.1111,4.2,3.7778,0.4
18,6.7037,5.25,4.0833,4.85,4.6667,5.5333,0
19,7.3704,5.2727,3.1765,4.84,4.619,4,0.3226
20,7.4194,4.25,4.0909,6.0769,4.7778,3.4,0.2857
